DecimalYear,Declination,Inclination,Hor,Total,X,Y,Z
1997.48493,0.02822,64.27746,20695.4,47683.7,20695.4,10.2,42958.6
1997.58493,0.03929,64.27858,20695.9,47686.8,20695.9,14.2,42961.8
1997.68493,0.05036,64.2797,20696.4,47689.9,20696.4,18.2,42965.0
1997.78493,0.06143,64.28082,20696.9,47693.0,20696.9,22.2,42968.2
1997.88493,0.07249,64.28194,20697.4,47696.1,20697.4,26.2,42971.4
1997.98493,0.08356,64.28306,20697.9,47699.2,20697.9,30.2,42974.6
1998.08493,0.09462,64.28418,20698.4,47702.3,20698.4,34.2,42977.8
1998.18493,0.10569,64.28529,20698.9,47705.4,20698.9,38.2,42981.0
1998.28493,0.11675,64.28641,20699.4,47708.5,20699.4,42.2,42984.2
1998.38493,0.12782,64.28752,20700.0,47711.7,20699.9,46.2,42987.4
1998.48493,0.13888,64.28863,20700.5,47714.8,20700.4,50.2,42990.6
1998.58493,0.14994,64.28974,20701.0,47717.9,20700.9,54.2,42993.8
1998.68493,0.161,64.29086,20701.5,47721.0,20701.4,58.2,42997.0
1998.78493,0.17207,64.29196,20702.0,47724.1,20701.9,62.2,43000.2
1998.88493,0.18313,64.29307,20702.5,47727.2,20702.4,66.2,43003.4
1998.98493,0.19419,64.29418,20703.0,47730.3,20702.9,70.2,43006.5
1999.08493,0.20525,64.29529,20703.5,47733.4,20703.4,74.2,43009.7
1999.18493,0.21631,64.29639,20704.1,47736.5,20703.9,78.2,43012.9
1999.28493,0.22736,64.2975,20704.6,47739.6,20704.4,82.2,43016.1
1999.38493,0.23842,64.2986,20705.1,47742.7,20704.9,86.2,43019.3
1999.48493,0.24948,64.29971,20705.6,47745.8,20705.4,90.2,43022.5
1999.58493,0.26054,64.30081,20706.1,47748.9,20705.9,94.2,43025.7
1999.68493,0.27159,64.30191,20706.7,47752.0,20706.4,98.2,43028.9
1999.78493,0.28265,64.30301,20707.2,47755.1,20706.9,102.2,43032.1
1999.88493,0.2937,64.30411,20707.7,47758.2,20707.4,106.1,43035.3
1999.98493,0.30476,64.30521,20708.2,47761.3,20707.9,110.1,43038.5
2000.08493,0.31441,64.30403,20715.0,47774.9,20714.7,113.7,43050.3
2000.18493,0.32513,64.30488,20715.8,47778.2,20715.5,117.6,43053.6
2000.28493,0.33585,64.30573,20716.6,47781.5,20716.2,121.4,43056.9
2000.38493,0.34658,64.30658,20717.4,47784.9,20717.0,125.3,43060.2
2000.48493,0.3573,64.30743,20718.2,47788.2,20717.8,129.2,43063.5
2000.58493,0.36802,64.30827,20719.0,47791.5,20718.6,133.1,43066.8
2000.68493,0.37874,64.30912,20719.8,47794.9,20719.4,137.0,43070.2
2000.78493,0.38945,64.30997,20720.6,47798.2,20720.2,140.8,43073.5
2000.88493,0.40017,64.31081,20721.4,47801.5,20720.9,144.7,43076.8
2000.98493,0.41089,64.31166,20722.2,47804.9,20721.7,148.6,43080.1
2001.08493,0.42161,64.3125,20723.1,47808.2,20722.5,152.5,43083.4
2001.18493,0.43232,64.31334,20723.9,47811.5,20723.3,156.4,43086.7
2001.28493,0.44304,64.31418,20724.7,47814.9,20724.1,160.3,43090.0
2001.38493,0.45375,64.31502,20725.5,47818.2,20724.8,164.1,43093.3
2001.48493,0.46446,64.31586,20726.3,47821.5,20725.6,168.0,43096.6
2001.58493,0.47517,64.3167,20727.1,47824.9,20726.4,171.9,43099.9
2001.68493,0.48588,64.31754,20727.9,47828.2,20727.2,175.8,43103.2
2001.78493,0.49659,64.31837,20728.8,47831.5,20728.0,179.7,43106.5
2001.88493,0.5073,64.31921,20729.6,47834.9,20728.8,183.5,43109.8
2001.98493,0.51801,64.32005,20730.4,47838.2,20729.5,187.4,43113.2
2002.08493,0.52872,64.32088,20731.2,47841.5,20730.3,191.3,43116.5
2002.18493,0.53943,64.32171,20732.0,47844.9,20731.1,195.2,43119.8
